"","","","","","","","","","","","",""
"","MUSI RIVER - 2020","","","","","","","","","","",""
"","Sampling Location : 1. U/s of Musi at Gandipet (Osmansagar lake)","","","","","","","","","","",""
"","S. No. ","Month ","DO (mg/L)","pH","Condu ctivity (mS/cm)","BOD (mg/L)","Total Coliform (MPN/ 100ml)","Free Ammonia (mg/L)","Boron (mg/L)","SAR (mg/L)","",""
"","1","Jan-20","5.6","7.96","446","2.1","11","< 0.01","<0.01","1.0","",""
"","2","Feb-20","5.6","7.81","432","2.1","14","< 0.01","<0.01","1.0","",""
"","3","Mar-20","5.5","7.81","546","2.5","18","< 0.01","< 0.01","0.6","",""
"","4","Apr-20","5.8","7.45","611","3.0","130","< 0.01","< 0.01","1.1","",""
"","5","May-20","5.0","7.30","725","3.1","26","< 0.01","< 0.01","1.8","",""
"","6","Jun-20","4.0","6.73","917","2.5","46","< 0.01","< 0.01","2.9","",""
"","","","","","","","","","",""," ",""
"","Sampling Location : 2. Musi sample at Bapughat sangam U/S of Musi","","","","","","","","","","",""
"","S.No. ","Month ","DO (mg/L)","pH","Conductivity (mS/cm)","BOD (mg/L)","Total Coliform (MPN/100ml)","Free Ammonia (mg/L)","Boron (mg/L)","SAR (mg/L)","",""
"","1","Jan-20","<0.1","7.9","1700","43",">1600","< 0.01","<0.01","4.4","",""
"","2","Feb-20","< 0.1","7.8","1780","46",">1600","< 0.01","<0.01","3.3","",""
"","3","Mar-20","<0.1","7.10","1590","12","1600","< 0.01","0.32","2.7","",""
"","4","Apr-20","<0.1","7.57","1577","16","1600","0.02","< 0.01","1.8","",""
"","5","May-20","<0.1","7.51","1591","27","1600","0.06","< 0.01","4.7","",""
"","6","Jun-20","<0.1","7.20","1468","24","1600","0.0","< 0.01","5.6","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Sampling Location :3.River Musi at Moosarambagh bridge, Hyderabad","","","","","","","","","","",""
"","S. No.","Month","DO (mg/L)","pH","Condu ctivity (mS/cm)","BOD (mg/L)","Total Coliform (MPN/100ml)","Free Ammonia (mg/L)","Boron (mg/L)","SAR (mg/L)","",""
"","1","Jan-20","<0.1","7.93","1334","38",">1600","1.00","<0.01","2.7","",""
"","2","Feb-20","< 0.1","7.72","1420","40",">1600","< 0.01","<0.01","2.1","",""
"","3","Mar-20","<0.1","7.12","1340","26","920","< 0.01","0.14","2.4","",""
"","4","Apr-20","<0.1","7.67","1289","32","920","<0.01","< 0.01","1.8","",""
"","5","May-20","<0.1","7.44","1368","48","920","0.03","< 0.01","2.5","",""
"","6","Jun-20","<0.1","7.23","1454","20","920","0.0","< 0.01","4.4","",""
"","","","","","","","","","","","",""
"","Sampling Location:4.River Musi at Nagole    ","","","","","","","","","","",""
"","S. No. ","Month","DO (mg/L)","pH","Conductivity (mS/cm)","BOD (mg/L)","Total Coliform (MPN/100ml)","Free Ammonia (mg/L)","Boron (mg/L)","SAR","",""
"","1","Jan-20","<0.1","8.02","1335","30","1600","1.00","<0.01","2.9","",""
"","2","Feb-20","< 0.1","7.92","1380","32",">1600","< 0.01","<0.01","2.9","",""
"","3","Mar-20","<0.1","7.36","1457","44","1600","< 0.01","0.26","5.3","",""
"","4","Apr-20","<0.1","7.40","1357","24",">1600","0.01","< 0.01","2.2","",""
"","5","May-20","<0.1","7.48","1221","40",">1600","0.06","< 0.01","2.6","",""
"","6","Jun-20","<0.1","7.29","1460","24",">1600","0.23","< 0.01","3.7","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Sampling Location :5.River Musi at Peerjadiguda, RR dist","","","","","","","","","","",""
"","S. No.","Month","DO (mg/L)","pH","Conductivity (mS/cm)","BOD (mg/L)","Total Coliform (MPN/100ml)","Free Ammonia (mg/L)","Boron (mg/L)","SAR (mg/L)","",""
"","1","Jan-20","<0.1","7.89","1417","32",">1600","0.9","<0.01","3.0","",""
"","2","Feb-20","< 0.1","7.80","1440","38",">1600","< 0.01","<0.01","2.4","",""
"","3","Mar-20","<0.1","7.06","1506","36","920","< 0.01","0.22","4.9","",""
